tipo,minuto,barco_id,decision,desde,hasta,ocupacion,unidad_id,par,tiempo_espera,tiempo_viaje
sube,410.0,barco_0,,,,,escalon_2_00007_p6,"('kleppesto', 'bryggen')",9.019999999999982,
sube,410.0,barco_0,,,,,escalon_2_00007_p7,"('kleppesto', 'bryggen')",9.019999999999982,
sube,410.0,barco_0,,,,,escalon_2_00008_p0,"('kleppesto', 'bryggen')",5.310000000000002,
sube,410.0,barco_0,,,,,escalon_2_00008_p1,"('kleppesto', 'bryggen')",5.310000000000002,
sube,410.0,barco_0,,,,,escalon_2_00008_p2,"('kleppesto', 'bryggen')",5.310000000000002,
sube,410.0,barco_0,,,,,escalon_2_00008_p3,"('kleppesto', 'bryggen')",5.310000000000002,
sube,410.0,barco_0,,,,,escalon_2_00008_p4,"('kleppesto', 'bryggen')",5.310000000000002,
sube,410.0,barco_0,,,,,escalon_2_00008_p5,"('kleppesto', 'bryggen')",5.310000000000002,
sube,410.0,barco_0,,,,,escalon_2_00008_p6,"('kleppesto', 'bryggen')",5.310000000000002,
sube,410.0,barco_0,,,,,escalon_2_00008_p7,"('kleppesto', 'bryggen')",5.310000000000002,
movimiento,410.0,barco_0,,kleppesto,bryggen,16.0,,,,
decision,410.0,barco_2,esperar,,,,,,,
baja,412.0,barco_1,,,,,escalon_2_00022_p0,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00022_p1,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00022_p2,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00022_p3,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00022_p4,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00022_p5,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00021_p0,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00021_p1,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00021_p2,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00021_p3,"('laksevag', 'bryggen')",,10.0
baja,412.0,barco_1,,,,,escalon_2_00021_p4,"('laksevag', 'bryggen')",,10.0
decision,412.0,barco_1,kleppesto,,,,,,,
movimiento,412.0,barco_1,,bryggen,kleppesto,0.0,,,,
decision,412.0,barco_2,kleppesto,,,,,,,
movimiento,412.0,barco_2,,laksevag,kleppesto,0.0,,,,
decision,418.0,barco_2,laksevag,,,,,,,
sube,418.0,barco_2,,,,,escalon_2_00001_p0,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p1,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p2,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p3,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p4,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p5,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p6,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p7,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p8,"('kleppesto', 'laksevag')",6.480000000000018,
sube,418.0,barco_2,,,,,escalon_2_00001_p9,"('kleppesto', 'laksevag')",6.480000000000018,
movimiento,418.0,barco_2,,kleppesto,laksevag,10.0,,,,
baja,422.0,barco_0,,,,,escalon_2_00007_p0,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00007_p1,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00007_p2,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00007_p3,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00007_p4,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00007_p5,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00007_p6,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00007_p7,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00008_p0,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00008_p1,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00008_p2,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00008_p3,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00008_p4,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00008_p5,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00008_p6,"('kleppesto', 'bryggen')",,12.0
baja,422.0,barco_0,,,,,escalon_2_00008_p7,"('kleppesto', 'bryggen')",,12.0
decision,422.0,barco_0,kleppesto,,,,,,,
movimiento,422.0,barco_0,,bryggen,kleppesto,0.0,,,,
baja,424.0,barco_2,,,,,escalon_2_00001_p0,"('kleppesto', 'laksevag')",,6.0
baja,424.0,barco_2,,,,,escalon_2_00001_p1,"('kleppesto', 'laksevag')",,6.0
