minuto,incomodidad,movimiento,entrega,total
636.0,0.038834567901236725,0.30000000000000004,0.0,-0.3388345679012368
638.0,0.5598222222222318,0.30000000000000004,0.0,-0.8598222222222318
640.0,1.6980938271605106,0.30000000000000004,0.0,-1.9980938271605106
642.0,1.0304098765432215,0.1,0.0,-1.1304098765432216
644.0,1.7672000000000152,0.2,0.0,-1.9672000000000152
646.0,2.70152098765434,0.30000000000000004,0.0,-3.00152098765434
648.0,3.862337345679036,0.30000000000000004,0.0,-4.1623373456790365
650.0,5.338016358024719,0.2,0.0,-5.538016358024719
652.0,7.278420061728429,0.2,0.0,-7.478420061728429
654.0,9.421960802469146,0.30000000000000004,0.0,-9.721960802469146
656.0,2.6749237654321116,0.2,0.0,-2.874923765432112
658.0,4.347639814814832,0.30000000000000004,0.0,-4.6476398148148315
660.0,0.0,0.1,0.0,-0.1
662.0,0.0,0.2,0.0,-0.2
664.0,0.020281481481481983,0.30000000000000004,0.0,-0.32028148148148206
666.0,0.27805925925926106,0.30000000000000004,0.0,-0.578059259259261
668.0,0.8321333333333368,0.2,0.0,-1.032133333333337
670.0,0.0,0.1,0.0,-0.1
672.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
674.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
676.0,0.010908641975309911,0.30000000000000004,0.0,-0.31090864197530993
678.0,0.3012790123456857,0.30000000000000004,0.0,-0.6012790123456857
680.0,0.05137777777777882,0.0,0.0,-0.05137777777777882
682.0,0.31360000000000254,0.30000000000000004,0.0,-0.6136000000000026
684.0,0.7980444444444487,0.30000000000000004,0.0,-1.0980444444444486
686.0,1.5047111111111167,0.30000000000000004,0.0,-1.8047111111111167
688.0,2.4336000000000073,0.2,0.0,-2.6336000000000075
690.0,0.0,0.0,0.0,0.0
692.0,0.0,0.0,0.0,0.0
694.0,0.0,0.0,0.0,0.0
696.0,0.0,0.0,0.0,0.0
698.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
700.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
702.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
704.0,0.0,0.1,0.0,-0.1
706.0,0.0,0.2,0.0,-0.2
708.0,0.018224999999997545,0.1,0.0,-0.11822499999999755
710.0,0.21933611111110266,0.1,0.0,-0.31933611111110266
712.0,0.64266944444443,0.1,0.0,-0.74266944444443
714.0,0.0,0.0,0.0,0.0
716.0,0.0,0.0,0.0,0.0
718.0,0.0,0.0,0.0,0.0
720.0,0.0,0.0,0.0,0.0
722.0,0.0,0.1,0.0,-0.1
724.0,0.0,0.1,0.0,-0.1
726.0,0.0,0.1,0.0,-0.1
728.0,0.0,0.1,0.0,-0.1
730.0,0.0,0.2,0.0,-0.2
732.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
734.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
736.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
738.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
740.0,0.07380277777777737,0.1,0.0,-0.17380277777777736
