franja,hora_inicio,hora_fin,origen,destino,rol_origen,rol_destino,peso_origen,peso_destino,tiempo_viaje_min,factor_distancia,factor_volumen_franja,intensidad
tarde,15,18,kleppesto,bryggen,empleo,poblacion,0.10122000268132457,1.0,11.5021948196763,0.4644910504485101,1.0,0.04701578537184946
tarde,15,18,kleppesto,sandviken,empleo,poblacion,0.10122000268132457,0.40111933562014807,9.562427354077675,0.5286148643740898,1.0,0.021462450812908634
tarde,15,18,laksevag,kleppesto,empleo,poblacion,0.12632869208817726,0.9082144791478606,5.331900217157426,0.7008509674511403,1.0,0.08041111761470056
tarde,15,18,laksevag,bryggen,empleo,poblacion,0.12632869208817726,1.0,8.61150194232506,0.5632114582234178,1.0,0.07114976688643945
tarde,15,18,laksevag,sandviken,empleo,poblacion,0.12632869208817726,0.40111933562014807,8.610586771546286,0.563245821582941,1.0,0.028541288513446266
tarde,15,18,bryggen,kleppesto,empleo,poblacion,1.0,0.9082144791478606,11.502194819676484,0.46449105044850436,1.0,0.421857497451931
tarde,15,18,bryggen,laksevag,empleo,poblacion,1.0,0.5772161039898899,8.611501942325056,0.563211458223418,1.0,0.325094723638186
tarde,15,18,bryggen,sandviken,empleo,poblacion,1.0,0.40111933562014807,6.828871972711653,0.6342842180690489,1.0,0.254423664146202
tarde,15,18,sandviken,kleppesto,empleo,poblacion,0.07863941930170647,0.9082144791478606,9.562427354077712,0.5286148643740884,1.0,0.03775444499039234
tarde,15,18,sandviken,laksevag,empleo,poblacion,0.07863941930170647,0.5772161039898899,8.610586771546286,0.563245821582941,1.0,0.025566820104482874
tarde,15,18,sandviken,bryggen,empleo,poblacion,0.07863941930170647,1.0,6.828871972711657,0.6342842180690488,1.0,0.04987974258118695
noche,18,24,kleppesto,laksevag,mixta,mixta,0.5047172409145926,0.3517723980390336,5.331900217157437,0.7008509674511397,0.15,0.018664950215917495
noche,18,24,kleppesto,bryggen,mixta,mixta,0.5047172409145926,1.0,11.5021948196763,0.4644910504485101,0.15,0.03516549621178392
noche,18,24,kleppesto,sandviken,mixta,mixta,0.5047172409145926,0.23987937746092727,9.562427354077675,0.5286148643740898,0.15,0.009600009957964178
noche,18,24,laksevag,kleppesto,mixta,mixta,0.3517723980390336,0.5047172409145926,5.331900217157426,0.7008509674511403,0.15,0.018664950215917513
noche,18,24,laksevag,bryggen,mixta,mixta,0.3517723980390336,1.0,8.61150194232506,0.5632114582234178,0.15,0.0297183367893469
noche,18,24,laksevag,sandviken,mixta,mixta,0.3517723980390336,0.23987937746092727,8.610586771546286,0.563245821582941,0.15,0.007129251080418276
noche,18,24,bryggen,kleppesto,mixta,mixta,1.0,0.5047172409145926,11.502194819676484,0.46449105044850436,0.15,0.03516549621178349
noche,18,24,bryggen,laksevag,mixta,mixta,1.0,0.3517723980390336,8.611501942325056,0.563211458223418,0.15,0.02971833678934691
noche,18,24,bryggen,sandviken,mixta,mixta,1.0,0.23987937746092727,6.828871972711653,0.6342842180690489,0.15,0.022822755504554173
noche,18,24,sandviken,kleppesto,mixta,mixta,0.23987937746092727,0.5047172409145926,9.562427354077712,0.5286148643740884,0.15,0.009600009957964154
noche,18,24,sandviken,laksevag,mixta,mixta,0.23987937746092727,0.3517723980390336,8.610586771546286,0.563245821582941,0.15,0.007129251080418276
noche,18,24,sandviken,bryggen,mixta,mixta,0.23987937746092727,1.0,6.828871972711657,0.6342842180690488,0.15,0.02282275550455417
