#{"t_start": 1788351415.8851364, "env_id": "None"}
r,l,t
-2184.123164,90,47.478036
-2407.666668,90,47.911422
-2522.965456,90,48.352369
-4498.810476,90,48.913924
-6037.209735,90,49.534019
-1657.107643,90,49.916069
-2280.255481,90,50.307091
-2264.366488,90,50.671079
-2350.03859,90,51.105698
-730.249617,90,51.492536
-3547.758837,90,51.912119
-1458.751608,90,52.344681
-5654.055177,90,52.765472
-3804.575049,90,54.737413
-4312.444634,90,55.131631
-1315.415744,90,55.565697
-2195.245409,90,55.854854
-1896.274112,90,56.116759
-3462.792032,90,56.480156
-2282.825095,90,56.733335
-2581.954946,90,57.077738
-3278.432386,90,57.391624
-3381.79847,90,57.716443
-2348.256253,90,58.029017
-1561.389212,90,58.342978
-1826.414038,90,58.631468
-741.661901,90,58.869477
-3304.863823,90,59.173286
-1124.143107,90,59.398734
-2132.403263,90,59.703598
-1738.391596,90,60.02006
-790.773938,90,60.261821
-2090.62762,90,60.562337
-2278.847744,90,60.851929
-3547.307971,90,61.129759
-1620.938314,90,61.434246
-1910.304682,90,63.27555
-4336.314835,90,63.79491
-2282.58057,90,64.204616
-1813.692911,90,64.523438
-1751.292098,90,64.748695
-2359.925971,90,65.057674
-2669.377144,90,65.39235
-2680.393422,90,65.64211
-2166.365434,90,65.886018
-1543.166165,90,66.155666
-2507.16345,90,66.423501
-1637.732475,90,66.718692
-1639.620798,90,66.970592
-4275.978489,90,67.319082
-3513.343103,90,67.653628
-1824.199927,90,67.916321
-1678.255035,90,68.208629
-3623.118811,90,68.517277
-1783.1203,90,68.915308
-5303.141401,90,69.225759
-3330.487886,90,69.482856
-4338.072028,90,69.746621
-2077.259835,90,70.02795
-2709.95654,90,71.821212
-2496.749472,90,72.2259
-3503.997719,90,72.659842
-2536.096211,90,72.998742
-2967.552316,90,73.259637
-4254.406055,90,73.50614
-3437.944612,90,73.828923
-1984.949106,90,74.024439
-1801.144566,90,74.300389
-2369.032736,90,74.574309
-4258.169943,90,74.877025
-1661.616828,90,75.087858
-3146.310268,90,75.472766
-1049.688404,90,75.797282
-4647.504125,90,76.152382
-6855.133794,90,76.537578
-2880.621649,90,76.79463
-4031.626819,90,77.105263
-3053.947153,90,77.441584
-2629.709179,90,77.704476
-2443.565222,90,78.077201
-2840.691467,90,78.343736
-4818.621266,90,78.649202
-3833.68609,90,80.328812
-4784.758066,90,80.705312
-2984.377528,90,81.042289
-3291.686819,90,81.325449
-2243.236106,90,81.599232
-1710.626427,90,81.90322
-2175.924,90,82.226655
-1761.321764,90,82.541428
-3145.937363,90,82.829076
-1540.587829,90,83.130808
-3316.59787,90,83.546951
-1726.147976,90,83.832716
-4090.908144,90,84.154893
-1986.390876,90,84.44453
-2513.40343,90,84.7073
-3000.407954,90,84.985755
